,Word,Count
0,classnambaseact,8
1,baseactfunctionnam,8
2,functionnamonpaus,5
3,onpausvalu,5
4,valuonpaus,2
5,onpauscom,2
6,companason,17
7,panasonhmiset,17
8,hmisetactiv,17
9,activwifiact,8
10,wifiactedd,3
11,classnamwifiact,860
12,wifiactfunctionnam,860
13,valuentri,7
14,valuscreen,1
15,screenstatu,1
16,statutrue,1
17,functionnamhidesoftkeyboard,2
18,hidesoftkeyboardvalu,2
19,valuhidesoftinputfromwindow,2
20,hidesoftinputfromwindowfals,1
21,onstopcom,2
22,ondestroicom,1
23,functionnamondestroi,2
24,ondestroivalu,2
25,valuondestroi,2
26,ontrimmemoricom,1
27,activwifimanageract,7
28,onstartcom,2
29,onresumcom,4
30,callmethod,3
31,methodprocess,3
32,processqualifi,3
33,qualifiuser,3
34,userandroid,3
35,androidapp,6
36,appcontextimpl,3
37,contextimplstartservic,3
38,startservicandroid,6
39,androidcontent,3
40,contentcontextwrapp,3
41,contextwrappstartservic,3
42,appactiv,2
43,activonresum,2
44,onresumandroid,2
45,androidsupport,2
46,supportapp,2
47,appfragmentact,2
48,fragmentactonresum,2
49,activbaseact,2
50,baseactonresum,2
51,onstartstartservic,2
52,functionnamonresum,3
53,onresumvalu,3
54,valuonresum,2
55,functionnamregisterintentfilt,3
56,registerintentfiltvalu,3
57,valuregist,2
58,registintentfilt,2
59,classnamwifimanageract,6
60,wifimanageractfunctionnam,6
61,functionnamiswifivariantsen,2
62,iswifivariantsenvalu,2
63,valumaindata,1
64,maindatatrue,1
65,truewifidata,1
66,wifidatatrue,1
67,functionnamhandleconnectednetworkvis,1
68,handleconnectednetworkvisvalu,1
69,valuwifien,2
70,wifientrue,2
71,swrbaidu,44
72,baiduhmi,44
73,hmifun,30
74,funwifimanageract,4
75,wifimanageracthandlewifibuttonstat,1
76,handlewifibuttonstatwifistat,1
77,wifistattrue,1
78,functionnamhandleswitch,1
79,handleswitchvalu,1
80,wifimanageractonpaus,2
81,onpaushandlewifibuttonstat,1
82,handlewifibuttonstattrue,1
83,qualcommbuild,1
84,builddff,1
85,dffidba,1
86,builddate,1
87,openglshader,1
88,shadercompil,1
89,compilversion,1
90,localbranch,1
91,branchmybranchefaab,1
92,mybranchefaabcbcd,1
93,remotbranch,2
94,branchquic,1
95,reconstructbranch,1
96,pfpxff,1
97,xffxff,1
98,androidhardwar,1
99,hardwarconfigstor,1
100,configstorisurfaceflingerconfig,1
101,isurfaceflingerconfighaswidecolordisplai,1
102,haswidecolordisplairetriev,1
103,initiegl,1
104,eglversion,1
105,swapbehavior,1
106,functionnamhandlewifimngstgbtnclick,1
107,handlewifimngstgbtnclickvalu,1
108,valuenter,1
109,hmiswr,14
110,wifimanageractstartact,1
111,startactstart,1
112,startwifi,1
113,wifiactiv,1
114,valutogglewifist,1
115,togglewifisttrue,1
116,onpausgetwifibuttonstatu,1
117,getwifibuttonstatutrue,1
118,oncreatcom,1
119,wifiactedcf,3
120,edcfnull,1
121,functionnamoncreat,1
122,oncreatvalu,1
123,valuoncreat,1
124,functionnaminitview,1
125,initviewvalu,1
126,functionnaminitcontrol,1
127,initcontrolvalu,1
128,funwifiact,26
129,wifiacthandleconnectednetworkvis,9
130,handleconnectednetworkvisgetwifistat,9
131,getwifistattrue,9
132,wifiactgetscanresult,12
133,getscanresultlist,12
134,listavail,12
135,availwifi,12
136,wifihotspot,12
137,functionnamiswapivariantblock,349
138,iswapivariantblockvalu,349
139,valusecur,359
140,securtype,349
141,functionnamisinconnect,349
142,isinconnectvalu,349
143,valuacsia,180
144,acsiacorp,108
145,acsiamanag,36
146,acsiaguest,36
147,valurse,105
148,rsetest,143
149,acsiadev,36
150,valunetgear,10
151,valudirect,23
152,directyoatlpmsdu,3
153,valuhuwifi,10
154,directdmatclwimsnl,12
155,directvqinltmsmj,12
156,valuautom,10
157,automtest,11
158,valuhotspot,10
159,valuprint,10
160,printlaserjet,12
161,laserjetpro,12
162,promfp,12
163,functionnamhandleallavailnetwork,24
164,handleallavailnetworkvalu,24
165,valusavednetwork,12
166,valupresentvisiblenetwork,12
167,functionnamhandleifwifiavailablenetwork,4
168,handleifwifiavailablenetworkconfig,4
169,configvalu,5
170,valunull,5
171,functionnamgetwapivariantinfo,2
172,getwapivariantinfovalu,2
173,valuwifivari,1
174,valuresult,1
175,resultfals,1
176,functionnamforcescan,1
177,forcescanvalu,1
178,functionnammwifiscanreceiv,20
179,mwifiscanreceivonrec,20
180,onrecerror,20
181,errorintent,20
182,intentaction,21
183,actionandroid,20
184,androidnet,20
185,netwifi,20
186,wifistate,12
187,statechang,12
188,functionnamhandlenetworkstatechang,12
189,handlenetworkstatechangvalu,11
190,valudetailedst,11
191,detailedstdisconnect,2
192,handlenetworkstatechangconfig,1
193,wifiwifi,1
194,functionnamhandlewifistatechang,1
195,handlewifistatechangvalu,1
196,valustate,1
197,buttononsaveinstancest,1
198,onsaveinstancestentri,1
199,entricom,1
200,onsaveinstancestcom,1
201,wifimanageractbundl,1
202,bundlandroid,2
203,androidviewhierarchyst,1
204,viewhierarchystbundl,1
205,androidview,16
206,viewandroid,1
207,viewabssavedst,14
208,abssavedstandroid,14
209,androidlastautofillid,1
210,lastautofillidandroid,1
211,androidfragment,1
212,fragmentandroid,1
213,appfragmentmanagerst,1
214,fragmentmanagerstcba,1
215,wifiscan,3
216,scanresult,3
217,backgroundconcurr,1
218,concurrcopi,1
219,copifreed,1
220,freedallocspac,1
221,allocspacobject,1
