,Word,Count
0,classnambaseact,8
1,baseactfunctionnam,8
2,functionnamonpaus,5
3,onpausvalu,5
4,valuonpaus,2
5,onpauscom,2
6,companason,17
7,panasonhmiset,17
8,hmisetactiv,17
9,activwifiact,8
10,wifiactcbfbe,3
11,classnamwifiact,776
12,wifiactfunctionnam,776
13,valuentri,7
14,valuscreen,1
15,screenstatu,1
16,statutrue,1
17,functionnamhidesoftkeyboard,2
18,hidesoftkeyboardvalu,2
19,valuhidesoftinputfromwindow,2
20,hidesoftinputfromwindowfals,1
21,onstopcom,2
22,ondestroicom,1
23,functionnamondestroi,2
24,ondestroivalu,2
25,valuondestroi,2
26,ontrimmemoricom,1
27,activwifimanageract,7
28,onstartcom,2
29,onresumcom,4
30,callmethod,3
31,methodprocess,3
32,processqualifi,3
33,qualifiuser,3
34,userandroid,3
35,androidapp,6
36,appcontextimpl,3
37,contextimplstartservic,3
38,startservicandroid,6
39,androidcontent,3
40,contentcontextwrapp,3
41,contextwrappstartservic,3
42,appactiv,2
43,activonresum,2
44,onresumandroid,2
45,androidsupport,2
46,supportapp,2
47,appfragmentact,2
48,fragmentactonresum,2
49,activbaseact,2
50,baseactonresum,2
51,onstartstartservic,2
52,functionnamonresum,3
53,onresumvalu,3
54,valuonresum,2
55,functionnamregisterintentfilt,3
56,registerintentfiltvalu,3
57,valuregist,2
58,registintentfilt,2
59,classnamwifimanageract,6
60,wifimanageractfunctionnam,6
61,functionnamiswifivariantsen,2
62,iswifivariantsenvalu,2
63,valumaindata,1
64,maindatatrue,1
65,truewifidata,1
66,wifidatatrue,1
67,functionnamhandleconnectednetworkvis,1
68,handleconnectednetworkvisvalu,1
69,valuwifien,2
70,wifientrue,2
71,swrbaidu,42
72,baiduhmi,42
73,hmifun,29
74,funwifimanageract,4
75,wifimanageracthandlewifibuttonstat,1
76,handlewifibuttonstatwifistat,1
77,wifistattrue,1
78,functionnamhandleswitch,1
79,handleswitchvalu,1
80,wifimanageractonpaus,2
81,onpaushandlewifibuttonstat,1
82,handlewifibuttonstattrue,1
83,qualcommbuild,1
84,builddff,1
85,dffidba,1
86,builddate,1
87,openglshader,1
88,shadercompil,1
89,compilversion,1
90,localbranch,1
91,branchmybranchefaab,1
92,mybranchefaabcbcd,1
93,remotbranch,2
94,branchquic,1
95,reconstructbranch,1
96,pfpxff,1
97,xffxff,1
98,androidhardwar,1
99,hardwarconfigstor,1
100,configstorisurfaceflingerconfig,1
101,isurfaceflingerconfighaswidecolordisplai,1
102,haswidecolordisplairetriev,1
103,initiegl,1
104,eglversion,1
105,swapbehavior,1
106,functionnamhandlewifimngstgbtnclick,1
107,handlewifimngstgbtnclickvalu,1
108,valuenter,1
109,hmiswr,13
110,wifimanageractstartact,1
111,startactstart,1
112,startwifi,1
113,wifiactiv,1
114,valutogglewifist,1
115,togglewifisttrue,1
116,onpausgetwifibuttonstatu,1
117,getwifibuttonstatutrue,1
118,oncreatcom,1
119,wifiactfca,3
120,fcanull,1
121,functionnamoncreat,1
122,oncreatvalu,1
123,valuoncreat,1
124,functionnaminitview,1
125,initviewvalu,1
126,functionnaminitcontrol,1
127,initcontrolvalu,1
128,funwifiact,25
129,wifiacthandleconnectednetworkvis,9
130,handleconnectednetworkvisgetwifistat,9
131,getwifistattrue,9
132,wifiactgetscanresult,11
133,getscanresultlist,11
134,listavail,11
135,availwifi,11
136,wifihotspot,11
137,functionnamiswapivariantblock,310
138,iswapivariantblockvalu,310
139,valusecur,318
140,securtype,310
141,functionnamisinconnect,310
142,isinconnectvalu,310
143,valuacsia,144
144,acsiacorp,95
145,acsiamanag,31
146,acsiaguest,32
147,acsiadev,32
148,valurse,120
149,rsetest,160
150,valunetgear,8
151,valuhuwifi,8
152,valuautom,8
153,automtest,11
154,valudirect,16
155,directvqinltmsmj,11
156,directdmatclwimsnl,11
157,valuhotspot,8
158,valuprint,8
159,printlaserjet,11
160,laserjetpro,11
161,promfp,11
162,functionnamhandleallavailnetwork,22
163,handleallavailnetworkvalu,22
164,valusavednetwork,11
165,valupresentvisiblenetwork,11
166,functionnamhandleifwifiavailablenetwork,4
167,handleifwifiavailablenetworkconfig,4
168,configvalu,5
169,valunull,5
170,functionnamgetwapivariantinfo,2
171,getwapivariantinfovalu,2
172,valuwifivari,1
173,valuresult,1
174,resultfals,1
175,functionnamforcescan,1
176,forcescanvalu,1
177,functionnammwifiscanreceiv,19
178,mwifiscanreceivonrec,19
179,onrecerror,19
180,errorintent,19
181,intentaction,19
182,actionandroid,19
183,androidnet,19
184,netwifi,19
185,wifistate,12
186,statechang,12
187,functionnamhandlenetworkstatechang,12
188,handlenetworkstatechangvalu,11
189,valudetailedst,11
190,detailedstdisconnect,2
191,handlenetworkstatechangconfig,1
192,wifiwifi,1
193,functionnamhandlewifistatechang,1
194,handlewifistatechangvalu,1
195,valustate,1
196,buttononsaveinstancest,1
197,onsaveinstancestentri,1
198,entricom,1
199,onsaveinstancestcom,1
200,wifimanageractbundl,1
201,bundlandroid,2
202,androidviewhierarchyst,1
203,viewhierarchystbundl,1
204,androidview,16
205,viewandroid,1
206,viewabssavedst,14
207,abssavedstandroid,14
208,androidlastautofillid,1
209,lastautofillidandroid,1
210,androidfragment,1
211,fragmentandroid,1
212,appfragmentmanagerst,1
213,wifiscan,2
214,scanresult,2
215,classnamwifiadapt,1
216,wifiadaptfunctionnam,1
217,functionnamonbindviewhold,1
218,onbindviewholdvalu,1
219,valuallwifilist,1
220,allwifilistposit,1
